Rainfall - (MM), Year,Month, Country, ISO3
48.5315,1932,11, India, IND
9.38804,1932,12, India, IND
9.60968,1933,1, India, IND
15.9483,1933,2, India, IND
11.8508,1933,3, India, IND
37.6929,1933,4, India, IND
83.0591,1933,5, India, IND
185.775,1933,6, India, IND
257.577,1933,7, India, IND
327.038,1933,8, India, IND
197.404,1933,9, India, IND
85.5839,1933,10, India, IND
20.3336,1933,11, India, IND
15.1919,1933,12, India, IND
17.4416,1934,1, India, IND
7.7238,1934,2, India, IND
12.3053,1934,3, India, IND
25.7049,1934,4, India, IND
44.8581,1934,5, India, IND
163.935,1934,6, India, IND
260.226,1934,7, India, IND
287.365,1934,8, India, IND
185.685,1934,9, India, IND
61.0439,1934,10, India, IND
31.4663,1934,11, India, IND
9.01667,1934,12, India, IND
20.5944,1935,1, India, IND
13.7768,1935,2, India, IND
7.39942,1935,3, India, IND
33.7108,1935,4, India, IND
22.4309,1935,5, India, IND
148.296,1935,6, India, IND
284.161,1935,7, India, IND
242.715,1935,8, India, IND
168.872,1935,9, India, IND
48.313,1935,10, India, IND
13.6627,1935,11, India, IND
7.81009,1935,12, India, IND
4.72993,1936,1, India, IND
28.8085,1936,2, India, IND
20.1494,1936,3, India, IND
25.3229,1936,4, India, IND
68.2313,1936,5, India, IND
228.528,1936,6, India, IND
258.672,1936,7, India, IND
209.831,1936,8, India, IND
189.417,1936,9, India, IND
67.7686,1936,10, India, IND
51.5603,1936,11, India, IND
14.7845,1936,12, India, IND
2.6281,1937,1, India, IND
38.1046,1937,2, India, IND
13.9872,1937,3, India, IND
45.9127,1937,4, India, IND
50.0995,1937,5, India, IND
142.115,1937,6, India, IND
287.705,1937,7, India, IND
183.692,1937,8, India, IND
174.084,1937,9, India, IND
88.8719,1937,10, India, IND
16.603,1937,11, India, IND
9.6869,1937,12, India, IND
19.2579,1938,1, India, IND
14.0351,1938,2, India, IND
11.2518,1938,3, India, IND
20.7111,1938,4, India, IND
59.4263,1938,5, India, IND
233.122,1938,6, India, IND
268.029,1938,7, India, IND
250.855,1938,8, India, IND
146.726,1938,9, India, IND
65.2965,1938,10, India, IND
14.2344,1938,11, India, IND
3.58932,1938,12, India, IND
9.62123,1939,1, India, IND
15.5231,1939,2, India, IND
21.1669,1939,3, India, IND
21.9236,1939,4, India, IND
33.5324,1939,5, India, IND
142.818,1939,6, India, IND
252.86,1939,7, India, IND
229.253,1939,8, India, IND
137.848,1939,9, India, IND
82.6768,1939,10, India, IND
28.2852,1939,11, India, IND
1.25836,1939,12, India, IND
8.64138,1940,1, India, IND
20.2311,1940,2, India, IND
31.1418,1940,3, India, IND
34.7541,1940,4, India, IND
63.2563,1940,5, India, IND
172.349,1940,6, India, IND
262.346,1940,7, India, IND
279.852,1940,8, India, IND
115.757,1940,9, India, IND
60.4436,1940,10, India, IND
35.9827,1940,11, India, IND
11.3076,1940,12, India, IND
17.5594,1941,1, India, IND
11.7205,1941,2, India, IND
10.6397,1941,3, India, IND
30.822,1941,4, India, IND
55.8814,1941,5, India, IND
159.18,1941,6, India, IND
224.8,1941,7, India, IND
208.425,1941,8, India, IND
136.527,1941,9, India, IND
57.4716,1941,10, India, IND
20.5937,1941,11, India, IND
14.4322,1941,12, India, IND
15.146,1942,1, India, IND
28.6559,1942,2, India, IND
10.7925,1942,3, India, IND
38.6266,1942,4, India, IND
44.79,1942,5, India, IND
138.471,1942,6, India, IND
330.852,1942,7, India, IND
293.417,1942,8, India, IND
181.236,1942,9, India, IND
29.3864,1942,10, India, IND
10.5131,1942,11, India, IND
20.0006,1942,12, India, IND
26.8897,1943,1, India, IND
7.30436,1943,2, India, IND
12.7877,1943,3, India, IND
52.0712,1943,4, India, IND
59.2516,1943,5, India, IND
134.973,1943,6, India, IND
274.413,1943,7, India, IND
215.827,1943,8, India, IND
184.584,1943,9, India, IND
84.7898,1943,10, India, IND
16.9212,1943,11, India, IND
2.96774,1943,12, India, IND
20.3084,1944,1, India, IND
28.5623,1944,2, India, IND
40.7667,1944,3, India, IND
32.9803,1944,4, India, IND
33.85,1944,5, India, IND
145.103,1944,6, India, IND
308.313,1944,7, India, IND
288.867,1944,8, India, IND
140.008,1944,9, India, IND
79.3097,1944,10, India, IND
23.992,1944,11, India, IND
9.11948,1944,12, India, IND
24.7048,1945,1, India, IND
6.16995,1945,2, India, IND
7.08934,1945,3, India, IND
40.0746,1945,4, India, IND
45.5255,1945,5, India, IND
