Year,Avg Rainfall - (MM),Country
1963,167.74873416666665,Bhutan
1964,146.22473333333332,Bhutan
1965,140.76397000000003,Bhutan
1966,155.53193666666667,Bhutan
1967,128.10833749999998,Bhutan
1968,162.0578816666667,Bhutan
1969,144.41067666666666,Bhutan
1970,167.12866,Bhutan
1971,156.08103583333332,Bhutan
1972,128.67326833333334,Bhutan
1973,181.67109499999995,Bhutan
1974,164.921525,Bhutan
1975,156.47347333333332,Bhutan
1976,139.66689833333334,Bhutan
1977,181.665855,Bhutan
1978,174.01400833333335,Bhutan
1979,151.4567775,Bhutan
1980,158.14494,Bhutan
1981,150.636835,Bhutan
1982,125.85727999999999,Bhutan
1983,137.69722083333335,Bhutan
1984,182.23745,Bhutan
1985,165.7203683333333,Bhutan
1986,160.0847633333333,Bhutan
1987,160.989305,Bhutan
1988,180.43609416666666,Bhutan
1989,162.65661166666666,Bhutan
1990,167.75347916666666,Bhutan
1991,178.76318833333335,Bhutan
1992,148.95046499999998,Bhutan
1993,160.34513166666667,Bhutan
1994,132.87511666666668,Bhutan
1995,162.3219425,Bhutan
1996,152.26745833333334,Bhutan
1997,158.3242508333333,Bhutan
1998,173.17450250000002,Bhutan
1999,180.9835116666667,Bhutan
2000,171.58203249999997,Bhutan
2001,175.74907416666667,Bhutan
2002,155.24983916666665,Bhutan
2003,172.13148833333335,Bhutan
2004,157.05643916666665,Bhutan
2005,136.16946999999996,Bhutan
2006,147.95932583333334,Bhutan
2007,176.889145,Bhutan
2008,171.38257833333333,Bhutan
2009,129.65217000000004,Bhutan
2010,176.8087158333333,Bhutan
2011,166.52129833333333,Bhutan
2012,148.7758875,Bhutan
2013,167.781505,Bhutan
2014,152.1609,Bhutan
2015,144.10276583333334,Bhutan
2016,152.27977,Bhutan
1901,197.08333333333334,maldi
1902,197.08333333333334,maldi
1903,197.08333333333334,maldi
1904,197.08333333333334,maldi
1905,197.08333333333334,maldi
1906,197.08333333333334,maldi
1907,197.08333333333334,maldi
1908,197.08333333333334,maldi
1909,197.08333333333334,maldi
1910,197.08333333333334,maldi
1911,197.08333333333334,maldi
1912,197.08333333333334,maldi
1913,197.08333333333334,maldi
1914,197.08333333333334,maldi
1915,197.08333333333334,maldi
1916,197.08333333333334,maldi
1917,197.08333333333334,maldi
1918,197.08333333333334,maldi
1919,197.08333333333334,maldi
1920,197.08333333333334,maldi
1921,197.08333333333334,maldi
1922,197.08333333333334,maldi
1923,197.08333333333334,maldi
1924,197.08333333333334,maldi
1925,197.08333333333334,maldi
1926,197.08333333333334,maldi
1927,197.08333333333334,maldi
1928,197.08333333333334,maldi
1929,197.08333333333334,maldi
1930,197.08333333333334,maldi
1931,197.08333333333334,maldi
1932,197.08333333333334,maldi
1933,197.08333333333334,maldi
1934,197.08333333333334,maldi
1935,197.08333333333334,maldi
1936,197.08333333333334,maldi
1937,197.08333333333334,maldi
1938,197.08333333333334,maldi
1939,197.08333333333334,maldi
1940,197.08333333333334,maldi
1941,197.08333333333334,maldi
1942,197.08333333333334,maldi
1943,197.08333333333334,maldi
1944,197.08333333333334,maldi
1945,197.08333333333334,maldi
1946,197.08333333333334,maldi
1947,197.08333333333334,maldi
1948,197.08333333333334,maldi
1949,197.08333333333334,maldi
1950,197.08333333333334,maldi
1951,197.08333333333334,maldi
1952,197.08333333333334,maldi
1953,197.08333333333334,maldi
1954,197.08333333333334,maldi
1955,197.08333333333334,maldi
1956,197.08333333333334,maldi
1957,197.08333333333334,maldi
1958,197.08333333333334,maldi
1959,197.08333333333334,maldi
1960,197.08333333333334,maldi
1961,197.08333333333334,maldi
1962,197.08333333333334,maldi
1963,197.08333333333334,maldi
1964,197.08333333333334,maldi
1965,197.08333333333334,maldi
1966,197.08333333333334,maldi
1967,197.08333333333334,maldi
1968,197.08333333333334,maldi
1969,197.08333333333334,maldi
1970,197.08333333333334,maldi
1971,197.08333333333334,maldi
1972,197.08333333333334,maldi
1973,197.08333333333334,maldi
1974,197.08333333333334,maldi
1975,197.08333333333334,maldi
1976,197.08333333333334,maldi
1977,197.08333333333334,maldi
1978,197.08333333333334,maldi
1979,197.08333333333334,maldi
1980,197.08333333333334,maldi
1981,197.08333333333334,maldi
1982,197.08333333333334,maldi
1983,197.08333333333334,maldi
1984,197.08333333333334,maldi
1985,197.08333333333334,maldi
1986,197.08333333333334,maldi
1987,197.08333333333334,maldi
1988,197.08333333333334,maldi
1989,197.08333333333334,maldi
1990,197.08333333333334,maldi
1991,197.08333333333334,maldi
1992,197.08333333333334,maldi
1993,197.08333333333334,maldi
1994,197.08333333333334,maldi
1995,197.08333333333334,maldi
1996,197.08333333333334,maldi
1997,197.08333333333334,maldi
1998,197.08333333333334,maldi
1999,197.08333333333334,maldi
2000,197.08333333333334,maldi
2001,197.08333333333334,maldi
2002,197.08333333333334,maldi
2003,197.08333333333334,maldi
2004,197.08333333333334,maldi
2005,197.08333333333334,maldi
2006,197.08333333333334,maldi
2007,197.08333333333334,maldi
2008,197.08333333333334,maldi
2009,197.08333333333334,maldi
2010,197.08333333333334,maldi
2011,197.08333333333334,maldi
2012,197.08333333333334,maldi
2013,197.08333333333334,maldi
2014,197.08333333333334,maldi
2015,197.08333333333334,maldi
2016,197.08333333333334,maldi
