year,month,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1920,10,9.021,0.212,14.852,0.302,3.1,0.267,15.206,0.125
1920,11,5.566,0.229,11.127,0.243,-0.123,0.278,14.159,0.128
1920,12,2.629,0.229,8.225,0.31,-3.063,0.402,13.311,0.127
1921,1,2.98,0.32,8.737,0.317,-2.709,0.345,13.439,0.146
1921,2,3.125,0.236,9.17,0.409,-2.816,0.278,13.622,0.129
1921,3,5.081,0.276,10.928,0.36,-0.931,0.322,14.128,0.137
1921,4,8.324,0.262,14.327,0.247,2.252,0.34,15.005,0.129
1921,5,11.245,0.282,17.255,0.306,5.152,0.389,15.826,0.129
1921,6,13.44,0.239,19.36,0.299,7.384,0.366,16.49,0.122
1921,7,14.436,0.302,20.42,0.296,8.424,0.388,16.783,0.136
1921,8,13.561,0.326,19.468,0.311,7.601,0.368,16.618,0.137
1921,9,11.869,0.24,17.785,0.221,5.996,0.235,16.166,0.125
1921,10,9.264,0.188,15.124,0.248,3.446,0.244,15.285,0.117
1921,11,5.864,0.198,11.362,0.22,0.2,0.236,14.236,0.12
1921,12,3.663,0.213,9.157,0.243,-1.874,0.273,13.627,0.123
1922,1,2.15,0.214,7.603,0.524,-3.428,0.389,13.177,0.121
1922,2,2.376,0.271,8.234,0.529,-3.684,0.434,13.453,0.128
1922,3,5.156,0.223,11.248,0.282,-1.188,0.261,14.245,0.121
1922,4,8.38,0.276,14.521,0.23,2.156,0.324,15.168,0.127
1922,5,11.097,0.285,16.912,0.369,4.983,0.357,15.778,0.13
1922,6,13.331,0.241,19.153,0.299,7.266,0.236,16.406,0.117
1922,7,14.278,0.306,20.098,0.305,8.241,0.352,16.745,0.13
1922,8,13.584,0.333,19.475,0.315,7.599,0.303,16.532,0.134
1922,9,11.775,0.255,17.661,0.232,5.754,0.265,15.981,0.121
1922,10,9.056,0.219,14.975,0.202,3.134,0.27,15.043,0.12
1922,11,6.046,0.246,11.615,0.26,0.232,0.278,14.117,0.121
