Rainfall - (MM), Year,Month, Country, ISO3
16.7095,1936,2, Bhutan, BTN
19.7103,1936,3, Bhutan, BTN
134.375,1936,4, Bhutan, BTN
256.101,1936,5, Bhutan, BTN
374.657,1936,6, Bhutan, BTN
563.815,1936,7, Bhutan, BTN
324.307,1936,8, Bhutan, BTN
250.009,1936,9, Bhutan, BTN
124.504,1936,10, Bhutan, BTN
3.1526,1936,11, Bhutan, BTN
7.19137,1936,12, Bhutan, BTN
0.2848,1937,1, Bhutan, BTN
18.7082,1937,2, Bhutan, BTN
5.32486,1937,3, Bhutan, BTN
80.4639,1937,4, Bhutan, BTN
244.991,1937,5, Bhutan, BTN
228.062,1937,6, Bhutan, BTN
301.598,1937,7, Bhutan, BTN
538.809,1937,8, Bhutan, BTN
227.678,1937,9, Bhutan, BTN
91.2091,1937,10, Bhutan, BTN
3.46618,1937,11, Bhutan, BTN
0.27109,1937,12, Bhutan, BTN
9.55513,1938,1, Bhutan, BTN
5.13585,1938,2, Bhutan, BTN
45.3107,1938,3, Bhutan, BTN
70.0817,1938,4, Bhutan, BTN
222.406,1938,5, Bhutan, BTN
475.645,1938,6, Bhutan, BTN
677.456,1938,7, Bhutan, BTN
480.782,1938,8, Bhutan, BTN
227.12,1938,9, Bhutan, BTN
63.0344,1938,10, Bhutan, BTN
24.3732,1938,11, Bhutan, BTN
0.28925,1938,12, Bhutan, BTN
0.90258,1939,1, Bhutan, BTN
7.73682,1939,2, Bhutan, BTN
5.7024,1939,3, Bhutan, BTN
17.7236,1939,4, Bhutan, BTN
201.43,1939,5, Bhutan, BTN
417.517,1939,6, Bhutan, BTN
477.339,1939,7, Bhutan, BTN
221.418,1939,8, Bhutan, BTN
304.098,1939,9, Bhutan, BTN
126.175,1939,10, Bhutan, BTN
0.45593,1939,11, Bhutan, BTN
1.71975,1939,12, Bhutan, BTN
0.24836,1940,1, Bhutan, BTN
24.0333,1940,2, Bhutan, BTN
68.9275,1940,3, Bhutan, BTN
123.107,1940,4, Bhutan, BTN
